Company Name,Exchange,Symbol,Company_Name,Industry Group,Primary Sector,SIC Code,Country,Broad Group,Sub Group
"The Trade Desk, Inc. (NasdaqGM:TTD)",NasdaqGM:TTD,TTD,"The Trade Desk, Inc.",Advertising,Communication Services,7370,United States,United States,United States
Omnicom Group Inc. (NYSE:OMC),NYSE:OMC,OMC,Omnicom Group Inc.,Advertising,Communication Services,7311,United States,United States,United States
"The Interpublic Group of Companies, Inc. (NYSE:IPG)",NYSE:IPG,IPG,"The Interpublic Group of Companies, Inc.",Advertising,Communication Services,7311,United States,United States,United States
"Magnite, Inc. (NasdaqGS:MGNI)",NasdaqGS:MGNI,MGNI,"Magnite, Inc.",Advertising,Communication Services,7310,United States,United States,United States
"Ibotta, Inc. (NYSE:IBTA)",NYSE:IBTA,IBTA,"Ibotta, Inc.",Advertising,Communication Services,7310,United States,United States,United States
Integral Ad Science Holding Corp. (NasdaqGS:IAS),NasdaqGS:IAS,IAS,Integral Ad Science Holding Corp.,Advertising,Communication Services,7370,United States,United States,United States
"TechTarget, Inc. (NasdaqGS:TTGT)",NasdaqGS:TTGT,TTGT,"TechTarget, Inc.",Advertising,Communication Services,7310,United States,United States,United States
"Emerald Holding, Inc. (NYSE:EEX)",NYSE:EEX,EEX,"Emerald Holding, Inc.",Advertising,Communication Services,7389,United States,United States,United States
Advantage Solutions Inc. (NasdaqGS:ADV),NasdaqGS:ADV,ADV,Advantage Solutions Inc.,Advertising,Communication Services,8742,United States,United States,United States
Stagwell Inc. (NasdaqGS:STGW),NasdaqGS:STGW,STGW,Stagwell Inc.,Advertising,Communication Services,7310,United States,United States,United States
"PubMatic, Inc. (NasdaqGM:PUBM)",NasdaqGM:PUBM,PUBM,"PubMatic, Inc.",Advertising,Communication Services,7370,United States,United States,United States
"Clear Channel Outdoor Holdings, Inc. (NYSE:CCO)",NYSE:CCO,CCO,"Clear Channel Outdoor Holdings, Inc.",Advertising,Communication Services,7310,United States,United States,United States
"Thryv Holdings, Inc. (NasdaqCM:THRY)",NasdaqCM:THRY,THRY,"Thryv Holdings, Inc.",Advertising,Communication Services,7323,United States,United States,United States
"National CineMedia, Inc. (NasdaqGS:NCMI)",NasdaqGS:NCMI,NCMI,"National CineMedia, Inc.",Advertising,Communication Services,7310,United States,United States,United States
Innovid Corp. (NYSE:CTV),NYSE:CTV,CTV,Innovid Corp.,Advertising,Communication Services,7310,United States,United States,United States
Boston Omaha Corporation (NYSE:BOC),NYSE:BOC,BOC,Boston Omaha Corporation,Advertising,Communication Services,7310,United States,United States,United States
Entravision Communications Corporation (NYSE:EVC),NYSE:EVC,EVC,Entravision Communications Corporation,Advertising,Communication Services,7310,United States,United States,United States
"Cardlytics, Inc. (NasdaqGM:CDLX)",NasdaqGM:CDLX,CDLX,"Cardlytics, Inc.",Advertising,Communication Services,7310,United States,United States,United States
"Marchex, Inc. (NasdaqGS:MCHX)",NasdaqGS:MCHX,MCHX,"Marchex, Inc.",Advertising,Communication Services,7389,United States,United States,United States
"Fluent, Inc. (NasdaqCM:FLNT)",NasdaqCM:FLNT,FLNT,"Fluent, Inc.",Advertising,Communication Services,8742,United States,United States,United States
"SPAR Group, Inc. (NasdaqCM:SGRP)",NasdaqCM:SGRP,SGRP,"SPAR Group, Inc.",Advertising,Communication Services,7389,United States,United States,United States
"Harte Hanks, Inc. (NasdaqGM:HHS)",NasdaqGM:HHS,HHS,"Harte Hanks, Inc.",Advertising,Communication Services,7331,United States,United States,United States
